timestamp,open,high,low,close,volume
2021-03-08 00:00:00-05:00,222.01328727476053,223.93240636504976,217.94476417404604,218.19424438476562,35267400
2021-03-09 00:00:00-05:00,223.46223842117595,225.86113735770795,222.30116489353895,224.32583618164062,33080500
2021-03-10 00:00:00-05:00,227.41562829059083,227.41562829059083,222.6562061675543,223.02084350585938,29746800
2021-03-11 00:00:00-05:00,225.4581321614422,229.4978699157633,224.83440963059357,227.54037475585938,29907600
2021-03-12 00:00:00-05:00,224.54656261470257,226.28337798999624,223.7981072117447,226.21620178222656,22653700
2021-03-15 00:00:00-04:00,225.4580906490886,225.67878521883108,222.43546965240142,225.31414794921875,26034900
2021-03-16 00:00:00-04:00,226.724715623145,230.35184933196322,226.39846890984123,228.09689331054688,28092200
2021-03-17 00:00:00-04:00,226.5999721151421,228.90292372097375,223.79806010683893,227.4539794921875,29562100
2021-03-18 00:00:00-04:00,223.15518889547872,224.719275803559,221.01537498492127,221.3896026611328,34833000
2021-03-19 00:00:00-04:00,221.67746433641042,223.06882283713475,220.07500155097284,221.03456115722656,46430700
2021-03-22 00:00:00-04:00,220.95780504888268,227.31967558191016,220.83305760883877,226.4464874267578,30127000
2021-03-23 00:00:00-04:00,227.8858263731183,231.30185638179913,227.48281307743645,227.97218322753906,31638400
2021-03-24 00:00:00-04:00,228.2312280399036,228.37515610513233,225.80354372827452,225.93788146972656,25620100
2021-03-25 00:00:00-04:00,225.7843330698568,227.35800992333859,222.20518055488392,222.94403076171875,34061900
2021-03-26 00:00:00-04:00,222.18601962035427,227.13735047675794,222.18601962035427,226.91664123535156,25479900
2021-03-29 00:00:00-04:00,227.02221866806568,227.22373264099474,222.50270082457934,225.72682189941406,25227500
2021-03-30 00:00:00-04:00,224.08596063121217,224.3930267427671,221.7542377436791,222.47390747070312,24792000
2021-03-31 00:00:00-04:00,223.49101075651635,229.43068651308948,222.99203570768762,226.2353515625,43623500
2021-04-01 00:00:00-04:00,228.8261747651646,233.01944545451641,228.42316149759984,232.5492706298828,30338000
2021-04-05 00:00:00-04:00,232.94264979373384,239.85148963557137,232.88507856867108,238.9974822998047,36910600
2021-04-06 00:00:00-04:00,237.59655114205796,239.31415636924692,236.89607673963405,237.83644104003906,22931900
2021-04-07 00:00:00-04:00,237.78846920288845,240.78229055854658,237.19354691855074,239.7939453125,22719800
2021-04-08 00:00:00-04:00,242.54792980935247,243.86252202324732,241.80906467870807,243.00851440429688,23625200
2021-04-09 00:00:00-04:00,242.64385846421894,245.63769470692742,242.2312548181653,245.50335693359375,24326800
2021-04-12 00:00:00-04:00,244.40942924919764,247.24973207374578,244.32305775852038,245.56089782714844,27148700
2021-04-13 00:00:00-04:00,246.85627489335369,248.7082176144508,246.4436420720802,248.03651428222656,23837500
2021-04-14 00:00:00-04:00,247.06742699301665,248.36280908207007,244.84124159709435,245.25384521484375,23070900
2021-04-15 00:00:00-04:00,247.4991912440341,249.41831037148776,247.30729690134913,249.00570678710938,25627500
